,Name,Screen,Res,Price,GPU,CPU,RAM,Memory,OS,Wifi,Seller,PC_url,Img_url
580,Asus ExpertBook B1 B1402CBA-NK1609X,"Écran 14.0"" LCD - TN (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",1063.91,Intel Iris Xe Graphics (96 EU),Intel Core i7-1255U(10 coeurs x 4.70 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Pro,Wi-Fi 6 • Bluetooth 5.3,LaBoutiqueDuNet,https://www.comparez-malin.fr/informatique/pc-portable/asus-expertbook-b1-b1402cba-nk1609x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34877/asus-expertbook-b1402-1.jpg
581,Asus ExpertBook B7 Flip B7402FBA-LA0693X,"Écran tactile 14.0"" LCD - IPS (anti-reflets) 60 Hz + stylet","Résolution Full HD 1920 x 1200 pixels
(16/10)",1999.94,Intel Iris Xe Graphics (80 EU),Intel Core i5-1240P(12 coeurs 4.40 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.2,LDLC,https://www.comparez-malin.fr/informatique/pc-portable/asus-expertbook-b7-flip-b7402fba-la0693x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34876/asus-expertbook-flip-b7402f-1.jpg
582,Asus ExpertBook B5 B5302FBA-LG0397X,"Écran 13.3"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",1397.21,Intel Iris Xe Graphics (96 EU),Intel Core i7-1255U(10 coeurs x 4.70 GHz),16 Go DDR4 - 3200 MHz,1 To (SSD M.2 PCI-e 3.0),Windows 11 Pro,Wi-Fi 6 • Bluetooth 5.2,Topbiz,https://www.comparez-malin.fr/informatique/pc-portable/asus-expertbook-b5-b5302fba-lg0397x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34875/asus-expertbook-b5-b5302c-1.jpg
583,Asus ExpertBook B5 B5302CBA-EG0515X,"Écran 13.3"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",1445.25,Intel Iris Xe Graphics (96 EU),Intel Core i7-1255U(10 coeurs x 4.70 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Pro,Wi-Fi 6 • Bluetooth 5.2,Topbiz,https://www.comparez-malin.fr/informatique/pc-portable/asus-expertbook-b5-b5302cba-eg0515x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34874/asus-expertbook-b5-b5302c-1.jpg
584,HP 15s-fq5023nf,"Écran 15.6"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",499.99,Intel Iris Xe Graphics (80 EU),Intel Core i5-1235U(10 coeurs x 4.40 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 6 • Bluetooth 5.3,Darty,https://www.comparez-malin.fr/informatique/pc-portable/hp-15s-fq5023nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/34873/hp-15s-argent-w11-1.jpg
585,HP 15s-eq2097nf,"Écran 15.6"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",712.49,AMD Radeon RX Vega 8,AMD Ryzen 7 5700U(8 coeurs 4.30 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Famille,Wi-Fi 5 • Bluetooth 4.2,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/hp-15s-eq2097nf.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/hp/2023/34872/hp-15s-argent-w11-1.jpg
586,Lenovo IdeaPad 5 Pro 14IRH8 (83AL000XFR),"Écran 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution 2K 2240 x 1400 pixels
(16/10)",1029.99,Intel Iris Xe Graphics (80 EU) - Raptor Lake,Intel Core i5-13500H(12 coeurs 4.70 GHz),16 Go LPDDR5 - 5200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Famille,Wi-Fi 6E • Bluetooth 5.1,Fnac,https://www.comparez-malin.fr/informatique/pc-portable/lenovo-ideapad-5-pro-14irh8-83al000xfr.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/lenovo/2023/34870/lenovo-ideapad-pro-5-gen8-arctic-grey-1.jpg
587,Asus ROG Studio 15 PX507VV4-LP098X,"Écran 15.6"" LCD - IPS (anti-reflets) 144 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",2199.95,Nvidia GeForce RTX 4060 (Mobile)(8 Go)Version : 2420 MHz / 140 W,Intel Core i9-13900H(14 coeurs 5.40 GHz),16 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6 • Bluetooth 5.2,LDLC,https://www.comparez-malin.fr/informatique/pc-portable/asus-rog-studio-15-px507vv4-lp098x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34869/asus-tuf-gaming-f15-2023-1.jpg
588,Asus ZenBook S 13 OLED UX5304VA-NQ079X,"Écran 13.3"" OLED 60 Hz","Résolution QHD 2880 x 1800 pixels
(16/10)",1514.29,Intel Iris Xe Graphics (96 EU) - Raptor Lake,Intel Core i7-1355U(10 coeurs 5.00 GHz),16 Go LPDDR5 - 5200 MHz,1 To (SSD M.2 PCI-e 4.0),Windows 11 Pro,Wi-Fi 6E • Bluetooth 5.2,Topbiz,https://www.comparez-malin.fr/informatique/pc-portable/asus-zenbook-s-13-oled-ux5304va-nq079x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34868/asus-zenbook-s-13-oled-ux5304-bleu-1.jpg
589,Asus ExpertBook B3 Flip B3402FBA-EC0828X,"Écran tactile 14.0"" LCD - IPS (anti-reflets) 60 Hz","Résolution Full HD 1920 x 1080 pixels
(16/9)",999.95,Intel Iris Xe Graphics (80 EU),Intel Core i5-1235U(10 coeurs x 4.40 GHz),8 Go DDR4 - 3200 MHz,512 Go (SSD M.2 PCI-e 3.0),Windows 11 Pro,Wi-Fi 6 • Bluetooth 5.3,Materiel.net,https://www.comparez-malin.fr/informatique/pc-portable/asus-expertbook-b3-flip-b3402fba-ec0828x.html,https://cdn.comparez-malin.fr/cache/thumbnail/img/asus/2023/34867/asus-expertbook-b3-flip-b3402-1.jpg
