,Name,Note,Price ($),URL
93,AMD Ryzen 9 PRO 7945,49660,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+PRO+7945&id=5505
94,AMD EPYC 7542,49437,1298.06,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7542&id=3604
95,Intel Xeon Platinum 8347C @ 2.10GHz,49386,0.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Platinum+8347C+%40+2.10GHz&id=4785
96,AMD EPYC 7K62,49104,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7K62&id=4859
97,AMD Ryzen 9 7900,49061,419.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7900&id=5167
98,AMD EPYC 7R12,48934,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7R12&id=5254
99,Apple M2 Ultra 24 Core,48740,0.0,https://www.cpubenchmark.net/cpu.php?cpu=Apple+M2+Ultra+24+Core&id=5533
100,Intel Xeon W-3345 @ 3.00GHz,48261,2499.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+W-3345+%40+3.00GHz&id=4996
101,Intel Core i9-13980HX,48072,668.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13980HX&id=5201
102,Intel Xeon Gold 6314U @ 2.30GHz,48013,2782.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6314U+%40+2.30GHz&id=4950
103,Intel Core i9-13900,47815,549.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900&id=5176
104,AMD EPYC 7452,47746,1349.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7452&id=3600
105,AMD EPYC 7402,47554,1492.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7402&id=3713
106,Intel Xeon w5-2465X,47436,1389.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w5-2465X&id=5463
107,Intel Xeon Gold 6342 @ 2.80GHz,47320,2388.05,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6342+%40+2.80GHz&id=4485
108,Intel Xeon w5-3435X,46896,1589.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+w5-3435X&id=5486
109,Intel Core i7-13700K,46687,407.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700K&id=5060
110,ARM Neoverse-N1 128 Core 3000 MHz,46480,0.0,https://www.cpubenchmark.net/cpu.php?cpu=ARM+Neoverse-N1+128+Core+3000+MHz&id=5009
111,Intel Core i7-13700KF,46452,390.98,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13700KF&id=5061
112,AMD Ryzen 9 7845HX,46448,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+7845HX&id=5196
113,Intel Core i7-13790F,46110,0.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i7-13790F&id=5611
114,AMD EPYC 73F3,46085,3966.35,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+73F3&id=4403
115,AMD EPYC 7502,45839,875.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7502&id=3880
116,AMD Ryzen 9 5950X,45796,441.71,https://www.cpubenchmark.net/cpu.php?cpu=AMD+Ryzen+9+5950X&id=3862
117,Intel Xeon Gold 6336Y @ 2.40GHz,45517,1929.95,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6336Y+%40+2.40GHz&id=4484
118,Intel Xeon Silver 4416+,45127,1176.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Silver+4416%2B&id=5546
119,Intel Core i9-13950HX,44941,590.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13950HX&id=5214
120,Intel Core i9-13900HX,44874,668.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900HX&id=5205
121,Intel Core i9-12900KS,44199,399.99,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-12900KS&id=4813
122,AMD EPYC 7343,44189,1699.99,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7343&id=4388
123,Intel Core i9-13900T,44159,549.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Core+i9-13900T&id=5154
124,AMD EPYC 9124,43698,1797.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+9124&id=5451
125,ARM Neoverse-N1 128 Core 2800 MHz,43111,0.0,https://www.cpubenchmark.net/cpu.php?cpu=ARM+Neoverse-N1+128+Core+2800+MHz&id=5256
126,Intel Xeon Gold 6330 @ 2.00GHz,43056,1230.0,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6330+%40+2.00GHz&id=4513
127,AMD EPYC 7402P,42899,888.76,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7402P&id=3591
128,AMD EPYC 7D12,42762,0.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7D12&id=5042
129,Intel Xeon Gold 6338N @ 2.20GHz,42552,4671.69,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6338N+%40+2.20GHz&id=4656
130,Intel Xeon Gold 6312U @ 2.40GHz,42124,1809.59,https://www.cpubenchmark.net/cpu.php?cpu=Intel+Xeon+Gold+6312U+%40+2.40GHz&id=4606
131,AMD EPYC 7313P,42032,913.0,https://www.cpubenchmark.net/cpu.php?cpu=AMD+EPYC+7313P&id=4407
